pair_idx,class_a,class_b,t,store,cos_top1,mah_top1,overlap_10,overlap_25,flip_top1,rank_corr,sim_delta_mean,sim_delta_max
43,70,82,0.3499999940395355,S1,70,70,10,25,0,1.0,2.394318471488077e-06,3.635883331298828e-06
43,70,82,0.3499999940395355,S3,70,70,10,25,0,1.0,2.394318471488077e-06,3.635883331298828e-06
43,70,82,0.35999998450279236,S1,70,70,10,25,0,1.0,2.4986265998450108e-06,3.7550926208496094e-06
43,70,82,0.35999998450279236,S3,70,70,10,25,0,1.0,2.4986265998450108e-06,3.7550926208496094e-06
43,70,82,0.3700000047683716,S1,70,70,10,25,0,1.0,2.586841446827748e-06,3.814697265625e-06
43,70,82,0.3700000047683716,S3,70,70,10,25,0,1.0,2.586841446827748e-06,3.814697265625e-06
43,70,82,0.3799999952316284,S1,70,70,10,25,0,1.0,2.5844574338407256e-06,3.5762786865234375e-06
43,70,82,0.3799999952316284,S3,70,70,10,25,0,1.0,2.5844574338407256e-06,3.5762786865234375e-06
43,70,82,0.38999998569488525,S1,70,70,10,25,0,1.0,2.630352810228942e-06,3.5762786865234375e-06
43,70,82,0.38999998569488525,S3,70,70,10,25,0,1.0,2.630352810228942e-06,3.5762786865234375e-06
43,70,82,0.3999999761581421,S1,70,70,10,25,0,1.0,2.7513503937370842e-06,3.874301910400391e-06
43,70,82,0.3999999761581421,S3,70,70,10,25,0,1.0,2.7513503937370842e-06,3.874301910400391e-06
43,70,82,0.4099999964237213,S1,70,70,10,25,0,1.0,2.6899574550043326e-06,3.6954879760742188e-06
43,70,82,0.4099999964237213,S3,70,70,10,25,0,1.0,2.6899574550043326e-06,3.6954879760742188e-06
43,70,82,0.41999998688697815,S1,70,70,10,25,0,1.0,2.8121471586928237e-06,3.6954879760742188e-06
43,70,82,0.41999998688697815,S3,70,70,10,25,0,1.0,2.8121471586928237e-06,3.6954879760742188e-06
43,70,82,0.429999977350235,S1,70,70,10,25,0,1.0,2.8449296678445535e-06,3.7550926208496094e-06
43,70,82,0.429999977350235,S3,70,70,10,25,0,1.0,2.8449296678445535e-06,3.7550926208496094e-06
43,70,82,0.4399999976158142,S1,70,70,10,25,0,1.0,2.8371810003591236e-06,3.7550926208496094e-06
43,70,82,0.4399999976158142,S3,70,70,10,25,0,1.0,2.8371810003591236e-06,3.7550926208496094e-06
43,70,82,0.44999998807907104,S1,70,70,10,25,0,1.0,2.821087718984927e-06,3.635883331298828e-06
43,70,82,0.44999998807907104,S3,70,70,10,25,0,1.0,2.821087718984927e-06,3.635883331298828e-06
43,70,82,0.4599999785423279,S1,70,70,10,25,0,1.0,2.900362005675561e-06,3.814697265625e-06
43,70,82,0.4599999785423279,S3,70,70,10,25,0,1.0,2.900362005675561e-06,3.814697265625e-06
43,70,82,0.4699999988079071,S1,70,70,10,25,0,1.0,2.925992021118873e-06,3.874301910400391e-06
43,70,82,0.4699999988079071,S3,70,70,10,25,0,1.0,2.925992021118873e-06,3.874301910400391e-06
43,70,82,0.47999998927116394,S1,70,70,10,25,0,1.0,2.859234655261389e-06,3.6954879760742188e-06
43,70,82,0.47999998927116394,S3,70,70,10,25,0,1.0,2.859234655261389e-06,3.6954879760742188e-06
43,70,82,0.4899999797344208,S1,70,70,10,25,0,1.0,2.822279839165276e-06,3.635883331298828e-06
43,70,82,0.4899999797344208,S3,70,70,10,25,0,1.0,2.822279839165276e-06,3.635883331298828e-06
43,70,82,0.5,S1,70,70,10,25,0,1.0,2.84552561424789e-06,3.5762786865234375e-06
43,70,82,0.5,S3,70,70,10,25,0,1.0,2.84552561424789e-06,3.5762786865234375e-06
43,70,82,0.5099999904632568,S1,70,70,10,25,0,1.0,2.7924775167775806e-06,3.5762786865234375e-06
43,70,82,0.5099999904632568,S3,70,70,10,25,0,1.0,2.7924775167775806e-06,3.5762786865234375e-06
43,70,82,0.5199999809265137,S1,82,82,10,25,0,1.0,2.7400253657106077e-06,3.516674041748047e-06
43,70,82,0.5199999809265137,S3,82,82,10,25,0,1.0,2.7400253657106077e-06,3.516674041748047e-06
43,70,82,0.5300000309944153,S1,82,82,10,25,0,1.0,2.738237299126922e-06,3.3974647521972656e-06
43,70,82,0.5300000309944153,S3,82,82,10,25,0,1.0,2.738237299126922e-06,3.3974647521972656e-06
43,70,82,0.5400000214576721,S1,82,82,10,25,0,1.0,2.74837020697305e-06,3.4570693969726562e-06
43,70,82,0.5400000214576721,S3,82,82,10,25,0,1.0,2.74837020697305e-06,3.4570693969726562e-06
43,70,82,0.550000011920929,S1,82,82,10,25,0,1.0,2.6518105187278707e-06,3.4570693969726562e-06
43,70,82,0.550000011920929,S3,82,82,10,25,0,1.0,2.6518105187278707e-06,3.4570693969726562e-06
43,70,82,0.5600000023841858,S1,82,82,10,25,0,1.0,2.631544930409291e-06,3.4570693969726562e-06
43,70,82,0.5600000023841858,S3,82,82,10,25,0,1.0,2.631544930409291e-06,3.4570693969726562e-06
43,70,82,0.5699999928474426,S1,82,82,10,25,0,1.0,2.663731493157684e-06,3.4570693969726562e-06
43,70,82,0.5699999928474426,S3,82,82,10,25,0,1.0,2.663731493157684e-06,3.4570693969726562e-06
43,70,82,0.5799999833106995,S1,82,82,10,25,0,1.0,2.5981664748542244e-06,3.516674041748047e-06
43,70,82,0.5799999833106995,S3,82,82,10,25,0,1.0,2.5981664748542244e-06,3.516674041748047e-06
43,70,82,0.5900000333786011,S1,82,82,10,25,0,1.0,2.630352810228942e-06,3.635883331298828e-06
43,70,82,0.5900000333786011,S3,82,82,10,25,0,1.0,2.630352810228942e-06,3.635883331298828e-06
43,70,82,0.6000000238418579,S1,82,82,10,25,0,1.0,2.523064495107974e-06,3.516674041748047e-06
43,70,82,0.6000000238418579,S3,82,82,10,25,0,1.0,2.523064495107974e-06,3.516674041748047e-06
43,70,82,0.6100000143051147,S1,82,82,10,25,0,1.0,2.491474106136593e-06,3.635883331298828e-06
43,70,82,0.6100000143051147,S3,82,82,10,25,0,1.0,2.491474106136593e-06,3.635883331298828e-06
43,70,82,0.6200000047683716,S1,82,82,10,25,0,1.0,2.5516746973153204e-06,3.7550926208496094e-06
43,70,82,0.6200000047683716,S3,82,82,10,25,0,1.0,2.5516746973153204e-06,3.7550926208496094e-06
43,70,82,0.6299999952316284,S1,82,82,10,25,0,1.0,2.3615359623363474e-06,3.5762786865234375e-06
43,70,82,0.6299999952316284,S3,82,82,10,25,0,1.0,2.3615359623363474e-06,3.5762786865234375e-06
43,70,82,0.6399999856948853,S1,82,82,10,25,0,1.0,2.3221969058795366e-06,3.635883331298828e-06
