arm,epoch,slot,decode,hit_counts,last_write_seq,usage,n_records,is_contra_fork,is_stale_superseded,is_current_fork,is_merge_candidate,role
stale-oneshot,2,107,3,3,363,3.0,3,0,0,0,0,clean
stale-oneshot,2,108,3,3,364,3.0,3,0,0,0,0,clean
stale-oneshot,2,109,3,3,365,3.0,3,0,0,0,0,clean
stale-oneshot,2,110,3,3,366,3.0,3,0,0,0,0,clean
stale-oneshot,2,111,3,3,367,3.0,3,0,0,0,0,clean
stale-oneshot,2,112,3,3,368,3.0,3,0,0,0,0,clean
stale-oneshot,2,113,3,3,369,3.0,3,0,0,0,0,clean
stale-oneshot,2,114,3,3,370,3.0,3,0,0,0,0,clean
stale-oneshot,2,115,3,3,371,3.0,3,0,0,0,0,clean
stale-oneshot,2,116,3,3,372,3.0,3,0,0,0,0,clean
stale-oneshot,2,117,3,3,373,3.0,3,0,0,0,0,clean
stale-oneshot,2,118,3,3,374,3.0,3,0,0,0,0,clean
stale-oneshot,2,119,3,3,375,3.0,3,0,0,0,0,clean
stale-oneshot,2,120,3,3,376,3.0,3,0,0,0,0,clean
stale-oneshot,2,121,3,3,377,3.0,3,0,0,0,0,clean
stale-oneshot,2,122,3,3,378,3.0,3,0,0,0,0,clean
stale-oneshot,2,123,3,3,379,3.0,3,0,0,0,0,clean
stale-oneshot,2,124,3,3,380,3.0,3,0,0,0,0,clean
stale-oneshot,2,125,3,3,381,3.0,3,0,0,0,0,clean
stale-oneshot,2,126,3,3,382,3.0,3,0,0,0,0,clean
stale-oneshot,2,127,3,3,383,3.0,3,0,0,0,0,clean
stale-oneshot,3,0,0,4,384,4.0,4,0,0,0,0,clean
stale-oneshot,3,1,0,4,385,4.0,4,0,0,0,0,clean
stale-oneshot,3,2,0,4,386,4.0,4,0,0,0,0,clean
stale-oneshot,3,3,0,4,387,4.0,4,0,0,0,0,clean
